Age,Distance to station,Stores,Price,Location
32.0,84.87882,10,37.9,3
19.5,306.5947,9,42.2,3
13.3,561.9845,5,47.3,3
13.3,561.9845,5,54.8,3
5.0,390.5684,5,43.1,3
7.1,2175.03,3,32.1,2
34.5,623.4731,7,40.3,3
20.3,287.6025,6,46.7,3
31.7,5512.038,1,18.8,1
17.9,1783.18,3,22.1,2
34.8,405.2134,1,41.4,3
6.3,90.45606,9,58.1,3
13.0,492.2313,5,39.3,0
20.4,2469.645,4,23.8,2
13.2,1164.838,4,34.3,3
35.7,579.2083,2,50.5,3
0.0,292.9978,6,70.1,3
17.7,350.8515,1,37.4,3
16.9,368.1363,8,42.3,0
1.5,23.38284,7,47.7,0
4.5,2275.877,3,29.3,2
10.5,279.1726,7,51.6,3
14.7,1360.139,1,24.6,0
10.1,279.1726,7,47.9,3
39.6,480.6977,4,38.8,3
29.3,1487.868,2,27.0,2
3.1,383.8624,5,56.2,3
10.4,276.449,5,33.6,0
19.2,557.478,4,47.0,3
7.1,451.2438,5,57.1,3
25.9,4519.69,0,22.1,1
29.6,769.4034,7,25.0,3
37.9,488.5727,1,34.2,3
16.5,323.655,6,49.3,3
15.4,205.367,7,55.1,3
13.9,4079.418,0,27.3,3
14.7,1935.009,2,22.9,2
12.0,1360.139,1,25.3,0
3.1,577.9615,6,47.7,3
16.2,289.3248,5,46.2,3
13.6,4082.015,0,15.9,1
16.8,4066.587,0,18.2,1
36.1,519.4617,5,34.7,0
34.4,512.7871,6,34.1,3
2.7,533.4762,4,53.9,3
36.6,488.8193,8,38.3,0
21.7,463.9623,9,42.0,0
35.9,640.7391,3,61.5,3
24.2,4605.749,0,13.4,1
29.4,4510.359,1,13.2,1
21.7,512.5487,4,44.2,3
31.3,1758.406,1,20.7,0
32.1,1438.579,3,27.0,2
13.3,492.2313,5,38.9,0
16.1,289.3248,5,51.7,3
31.7,1160.632,0,13.7,0
33.6,371.2495,8,41.9,3
3.5,56.47425,7,53.5,0
30.3,4510.359,1,22.6,1
13.3,336.0532,5,42.4,0
11.0,1931.207,2,21.3,2
5.3,259.6607,6,63.2,3
17.2,2175.877,3,27.7,2
2.6,533.4762,4,55.0,3
17.5,995.7554,0,25.3,0
40.1,123.7429,8,44.3,3
1.0,193.5845,6,50.7,0
8.5,104.8101,5,56.8,0
30.4,464.223,6,36.2,3
12.5,561.9845,5,42.0,3
6.6,90.45606,9,59.0,3
35.5,640.7391,3,40.8,3
32.5,424.5442,8,36.3,3
13.8,4082.015,0,20.0,1
6.8,379.5575,10,54.4,3
12.3,1360.139,1,29.5,0
35.9,616.4004,3,36.8,3
20.5,2185.128,3,25.6,2
38.2,552.4371,2,29.8,3
18.0,1414.837,1,26.5,0
11.8,533.4762,4,40.3,3
30.8,377.7956,6,36.8,0
13.2,150.9347,7,48.1,0
25.3,2707.392,3,17.7,2
15.1,383.2805,7,43.7,0
0.0,338.9679,9,50.8,0
1.8,1455.798,1,27.0,0
16.9,4066.587,0,18.3,1
8.9,1406.43,0,48.0,3
23.0,3947.945,0,25.3,1
0.0,274.0144,1,45.4,3
9.1,1402.016,0,43.2,3
20.6,2469.645,4,21.8,2
31.9,1146.329,0,16.1,0
40.9,167.5989,5,41.0,0
8.0,104.8101,5,51.8,0
6.4,90.45606,9,59.5,3
28.4,617.4424,3,34.6,3
16.4,289.3248,5,51.0,3
6.4,90.45606,9,62.2,3
17.5,964.7496,4,38.2,3
12.7,170.1289,1,32.9,3
1.1,193.5845,6,54.4,0
0.0,208.3905,6,45.7,0
32.7,392.4459,6,30.5,0
0.0,292.9978,6,71.0,3
17.2,189.5181,8,47.1,3
12.2,1360.139,1,26.6,0
